date,time,open,high,low,close,volume
2009.07.27,2:00,1.6432,1.6435,1.6406,1.6408,198
2009.07.27,3:00,1.6407,1.6425,1.6382,1.6416,480
2009.07.27,4:00,1.6417,1.6446,1.6416,1.6437,355
2009.07.27,5:00,1.6436,1.6437,1.6423,1.6436,219
2009.07.27,6:00,1.6437,1.6466,1.6436,1.6454,321
2009.07.27,7:00,1.6455,1.646,1.644,1.6455,259
2009.07.27,8:00,1.6456,1.6486,1.6447,1.648,338
2009.07.27,9:00,1.6479,1.6515,1.6476,1.6493,938
2009.07.27,10:00,1.6492,1.6524,1.6437,1.6446,1548
2009.07.27,11:00,1.6445,1.6478,1.6438,1.6467,1022
2009.07.27,12:00,1.6466,1.649,1.6455,1.6472,896
2009.07.27,13:00,1.6473,1.6479,1.6442,1.6461,981
2009.07.27,14:00,1.646,1.6507,1.6459,1.6506,1044
2009.07.27,15:00,1.6507,1.6514,1.6486,1.6502,949
2009.07.27,16:00,1.6501,1.651,1.6487,1.649,1175
2009.07.27,17:00,1.6489,1.6512,1.6458,1.6497,1318
2009.07.27,18:00,1.6496,1.6504,1.6481,1.6486,718
2009.07.27,19:00,1.6485,1.6505,1.6485,1.6494,457
2009.07.27,20:00,1.6496,1.6501,1.6478,1.6496,394
2009.07.27,21:00,1.6495,1.6501,1.6485,1.6498,334
2009.07.27,22:00,1.6499,1.65,1.6487,1.6494,332
2009.07.27,23:00,1.6493,1.6496,1.6486,1.6487,205
2009.07.28,0:00,1.6486,1.6498,1.6484,1.6491,190
2009.07.28,1:00,1.649,1.6496,1.6479,1.6485,199
2009.07.28,2:00,1.6484,1.6485,1.647,1.6483,190
2009.07.28,3:00,1.6482,1.6488,1.646,1.6469,352
2009.07.28,4:00,1.647,1.6479,1.6467,1.6468,234
2009.07.28,5:00,1.6469,1.647,1.6456,1.6466,219
2009.07.28,6:00,1.6467,1.6492,1.6467,1.6488,302
2009.07.28,7:00,1.6489,1.6507,1.6489,1.6502,429
2009.07.28,8:00,1.6503,1.6526,1.6502,1.6524,375
2009.07.28,9:00,1.6525,1.6556,1.6506,1.6528,867
2009.07.28,10:00,1.6527,1.6556,1.6516,1.6537,948
2009.07.28,11:00,1.6538,1.655,1.6512,1.6521,856
2009.07.28,12:00,1.6522,1.654,1.6506,1.6522,753
2009.07.28,13:00,1.6521,1.6527,1.6504,1.6505,560
2009.07.28,14:00,1.6506,1.6523,1.6471,1.6485,877
2009.07.28,15:00,1.6484,1.6506,1.6474,1.6501,790
2009.07.28,16:00,1.6502,1.6504,1.6442,1.6467,1231
2009.07.28,17:00,1.6466,1.6473,1.6435,1.6469,1377
2009.07.28,18:00,1.6468,1.6468,1.6391,1.6422,1175
2009.07.28,19:00,1.6423,1.6429,1.6408,1.6414,720
2009.07.28,20:00,1.6415,1.6427,1.6402,1.6418,618
2009.07.28,21:00,1.6419,1.6444,1.6408,1.6438,525
2009.07.28,22:00,1.6437,1.6442,1.6428,1.6439,364
2009.07.28,23:00,1.644,1.644,1.6425,1.6428,274
2009.07.29,0:00,1.6429,1.6438,1.6422,1.6426,334
2009.07.29,1:00,1.6427,1.6431,1.6403,1.6404,259
2009.07.29,2:00,1.6405,1.6418,1.6392,1.6409,391
2009.07.29,3:00,1.6408,1.6469,1.6407,1.6452,545
2009.07.29,4:00,1.6453,1.6464,1.644,1.6445,452
2009.07.29,5:00,1.6444,1.6467,1.6435,1.6462,403
2009.07.29,6:00,1.6461,1.6462,1.6429,1.6432,408
2009.07.29,7:00,1.6433,1.6448,1.6426,1.6446,542
2009.07.29,8:00,1.6447,1.6454,1.64,1.6413,690
2009.07.29,9:00,1.6412,1.6413,1.6354,1.6388,1349
2009.07.29,10:00,1.6387,1.6396,1.636,1.6377,1307
2009.07.29,11:00,1.6376,1.6388,1.6364,1.6369,1077
2009.07.29,12:00,1.637,1.6372,1.6347,1.6372,851
2009.07.29,13:00,1.6373,1.6402,1.6369,1.638,946
2009.07.29,14:00,1.6379,1.6391,1.6355,1.6361,934
2009.07.29,15:00,1.6362,1.6411,1.6355,1.6407,1523
2009.07.29,16:00,1.6408,1.6467,1.6406,1.6436,1431
2009.07.29,17:00,1.6435,1.6459,1.6405,1.641,1682
2009.07.29,18:00,1.6409,1.6412,1.6353,1.6376,1107
2009.07.29,19:00,1.6377,1.6418,1.6375,1.6397,699
2009.07.29,20:00,1.6396,1.6397,1.6362,1.6373,768
2009.07.29,21:00,1.6372,1.6382,1.6357,1.6358,493
2009.07.29,22:00,1.6357,1.6387,1.6357,1.6371,300
2009.07.29,23:00,1.637,1.6385,1.636,1.6377,375
2009.07.30,0:00,1.6375,1.6385,1.6356,1.6368,511
2009.07.30,1:00,1.6369,1.6369,1.6357,1.6357,250
2009.07.30,2:00,1.6358,1.6365,1.634,1.6351,336
2009.07.30,3:00,1.6352,1.6404,1.635,1.6395,518
2009.07.30,4:00,1.6394,1.6397,1.6369,1.6396,557
2009.07.30,5:00,1.6395,1.6405,1.6387,1.6392,363
2009.07.30,6:00,1.6391,1.6393,1.6367,1.6376,419
2009.07.30,7:00,1.6375,1.6389,1.6372,1.6382,628
2009.07.30,8:00,1.6383,1.6434,1.638,1.6427,744
2009.07.30,9:00,1.6428,1.647,1.6422,1.6467,1185
2009.07.30,10:00,1.6468,1.6491,1.646,1.648,1232
2009.07.30,11:00,1.6479,1.6503,1.6474,1.6492,1089
2009.07.30,12:00,1.6491,1.6523,1.6486,1.6498,1191
2009.07.30,13:00,1.6497,1.6526,1.6484,1.6488,807
2009.07.30,14:00,1.6489,1.65,1.6474,1.6474,745
2009.07.30,15:00,1.6475,1.65,1.6473,1.6494,1098
2009.07.30,16:00,1.6493,1.6497,1.6459,1.6492,1243
2009.07.30,17:00,1.6491,1.6523,1.6479,1.6491,1250
2009.07.30,18:00,1.6492,1.6514,1.6477,1.6482,879
2009.07.30,19:00,1.6481,1.6495,1.6479,1.6486,514
2009.07.30,20:00,1.6485,1.6508,1.6485,1.6498,652
2009.07.30,21:00,1.6499,1.6508,1.6489,1.6489,400
2009.07.30,22:00,1.649,1.6503,1.6482,1.6483,394
2009.07.30,23:00,1.6484,1.6495,1.6477,1.6493,278
2009.07.31,0:00,1.6492,1.6506,1.6492,1.6493,326
2009.07.31,1:00,1.6497,1.6498,1.6487,1.6495,209
2009.07.31,2:00,1.6496,1.6513,1.6493,1.6506,205
2009.07.31,3:00,1.6505,1.6513,1.6502,1.6511,240
2009.07.31,4:00,1.6512,1.6525,1.6508,1.6515,536
2009.07.31,5:00,1.6516,1.6526,1.6514,1.6524,270
2009.07.31,6:00,1.6516,1.6531,1.6513,1.6521,280
2009.07.31,7:00,1.652,1.6548,1.6519,1.6547,350
2009.07.31,8:00,1.6546,1.6549,1.6529,1.6539,308
2009.07.31,9:00,1.654,1.6572,1.6539,1.6541,701
2009.07.31,10:00,1.654,1.657,1.6526,1.6552,999
2009.07.31,11:00,1.6553,1.6561,1.6533,1.6538,862
2009.07.31,12:00,1.6537,1.6574,1.6537,1.6557,727
2009.07.31,13:00,1.6558,1.6566,1.6547,1.6566,615
2009.07.31,14:00,1.6565,1.6573,1.6526,1.6529,801
2009.07.31,15:00,1.6528,1.6542,1.6491,1.6495,1182
2009.07.31,16:00,1.6496,1.6538,1.6474,1.6511,1220
2009.07.31,17:00,1.6512,1.658,1.65,1.6578,1297
2009.07.31,18:00,1.6577,1.6718,1.6575,1.6712,1534
2009.07.31,19:00,1.6713,1.6732,1.6681,1.6695,1070
2009.07.31,20:00,1.6694,1.6707,1.6687,1.67,508
2009.07.31,21:00,1.6699,1.671,1.6685,1.6688,451
2009.07.31,22:00,1.6687,1.6716,1.6686,1.6704,463
2009.07.31,23:00,1.6705,1.6715,1.6698,1.6712,380
2009.08.03,12:00,1.6861,1.6867,1.6822,1.6829,480
2009.08.03,13:00,1.683,1.6846,1.6819,1.6838,764
2009.08.03,14:00,1.6839,1.6854,1.6818,1.6845,711
2009.08.03,15:00,1.6846,1.6867,1.684,1.6851,802
2009.08.03,16:00,1.685,1.6863,1.6823,1.6841,1225
2009.08.03,17:00,1.6842,1.693,1.6837,1.693,1636
2009.08.03,18:00,1.6929,1.6964,1.69,1.6953,1126
2009.08.03,19:00,1.6954,1.6986,1.6934,1.6951,765
2009.08.03,20:00,1.6952,1.6973,1.694,1.6949,464
2009.08.03,21:00,1.695,1.6961,1.6912,1.6921,533
2009.08.03,22:00,1.6922,1.6941,1.6915,1.694,460
2009.08.03,23:00,1.6941,1.6945,1.6923,1.6928,292
2009.08.04,0:00,1.6929,1.6939,1.6928,1.6938,214
2009.08.04,1:00,1.6939,1.6942,1.6928,1.6942,150
2009.08.04,2:00,1.6941,1.6948,1.6931,1.6935,266
2009.08.04,3:00,1.6934,1.6949,1.6923,1.6949,374
2009.08.04,4:00,1.695,1.7002,1.6933,1.6966,636
2009.08.04,5:00,1.6965,1.6978,1.6958,1.6973,492
2009.08.04,6:00,1.6972,1.6972,1.6944,1.6952,341
2009.08.04,7:00,1.6951,1.6962,1.6929,1.6939,661
2009.08.04,8:00,1.694,1.6949,1.6926,1.6937,545
